model_name	checkpoint	alignment	letalone_acc	muchless_acc	nottomention_acc	nevermind_acc
jhu-clsp/ettin-encoder-400m	NONE	All	0.840525	0.880993	0.799774	0.852510
jhu-clsp/ettin-encoder-400m	NONE	Aligned	0.920474	0.917654	0.959673	0.933728
jhu-clsp/ettin-encoder-400m	NONE	Misaligned	0.760575	0.844332	0.639876	0.771292
jhu-clsp/ettin-encoder-400m	decay1395	All	0.768472	0.823322	0.769318	0.773407
jhu-clsp/ettin-encoder-400m	decay1395	Aligned	0.839820	0.833615	0.884377	0.838127
jhu-clsp/ettin-encoder-400m	decay1395	Misaligned	0.697124	0.813029	0.654258	0.708686
jhu-clsp/ettin-encoder-400m	decay4187	All	0.851805	0.897772	0.813029	0.856035
jhu-clsp/ettin-encoder-400m	decay4187	Aligned	0.923576	0.933164	0.949521	0.929216
jhu-clsp/ettin-encoder-400m	decay4187	Misaligned	0.780034	0.862380	0.676537	0.782854
jhu-clsp/ettin-encoder-400m	decay6978	All	0.869712	0.899464	0.814862	0.876481
jhu-clsp/ettin-encoder-400m	decay6978	Aligned	0.931472	0.927524	0.961365	0.936830
jhu-clsp/ettin-encoder-400m	decay6978	Misaligned	0.807953	0.871404	0.668359	0.816131
jhu-clsp/ettin-encoder-400m	decay8210	All	0.840525	0.880993	0.799774	0.852510
jhu-clsp/ettin-encoder-400m	decay8210	Aligned	0.920474	0.917654	0.959673	0.933728
jhu-clsp/ettin-encoder-400m	decay8210	Misaligned	0.760575	0.844332	0.639876	0.771292
jhu-clsp/ettin-encoder-400m	ext10373	All	0.841089	0.869571	0.729554	0.806966
jhu-clsp/ettin-encoder-400m	ext10373	Aligned	0.886915	0.906655	0.835589	0.860124
jhu-clsp/ettin-encoder-400m	ext10373	Misaligned	0.795262	0.832487	0.623519	0.753807
jhu-clsp/ettin-encoder-400m	ext20747	All	0.913283	0.871263	0.798082	0.892837
jhu-clsp/ettin-encoder-400m	ext20747	Aligned	0.964749	0.898477	0.968415	0.939650
jhu-clsp/ettin-encoder-400m	ext20747	Misaligned	0.861816	0.844050	0.627750	0.846024
jhu-clsp/ettin-encoder-400m	ext31122	All	0.814721	0.831218	0.799492	0.807812
jhu-clsp/ettin-encoder-400m	ext31122	Aligned	0.856176	0.869994	0.917090	0.833615
jhu-clsp/ettin-encoder-400m	ext31122	Misaligned	0.773266	0.792442	0.681895	0.782008
jhu-clsp/ettin-encoder-400m	ext41497	All	0.901579	0.899041	0.781444	0.873801
jhu-clsp/ettin-encoder-400m	ext41497	Aligned	0.960801	0.959673	0.949803	0.919910
jhu-clsp/ettin-encoder-400m	ext41497	Misaligned	0.842358	0.838409	0.613085	0.827693
jhu-clsp/ettin-encoder-400m	ext50854	All	0.791596	0.818105	0.743373	0.782713
jhu-clsp/ettin-encoder-400m	ext50854	Aligned	0.877045	0.897631	0.830795	0.837563
jhu-clsp/ettin-encoder-400m	ext50854	Misaligned	0.706148	0.738579	0.655950	0.727862
jhu-clsp/ettin-encoder-400m	step23984	All	0.492104	0.492950	0.462070	0.504089
jhu-clsp/ettin-encoder-400m	step23984	Aligned	0.622391	0.497744	0.605753	0.519177
jhu-clsp/ettin-encoder-400m	step23984	Misaligned	0.361816	0.488156	0.318387	0.489002
jhu-clsp/ettin-encoder-400m	step101918	All	0.748167	0.625212	0.544275	0.662719
jhu-clsp/ettin-encoder-400m	step101918	Aligned	0.868866	0.671461	0.627186	0.849408
jhu-clsp/ettin-encoder-400m	step101918	Misaligned	0.627468	0.578962	0.461365	0.476029
jhu-clsp/ettin-encoder-400m	step182854	All	0.867174	0.832346	0.728849	0.751269
jhu-clsp/ettin-encoder-400m	step182854	Aligned	0.917654	0.889171	0.803440	0.831641
jhu-clsp/ettin-encoder-400m	step182854	Misaligned	0.816695	0.775522	0.654258	0.670897
jhu-clsp/ettin-encoder-400m	step260793	All	0.790468	0.773830	0.609419	0.697688
jhu-clsp/ettin-encoder-400m	step260793	Aligned	0.833333	0.894529	0.710942	0.820643
jhu-clsp/ettin-encoder-400m	step260793	Misaligned	0.747603	0.653130	0.507896	0.574732
jhu-clsp/ettin-encoder-400m	step398684	All	0.871827	0.849690	0.786943	0.779329
jhu-clsp/ettin-encoder-400m	step398684	Aligned	0.978003	0.957417	0.916526	0.947265
jhu-clsp/ettin-encoder-400m	step398684	Misaligned	0.765651	0.741963	0.657360	0.611393
jhu-clsp/ettin-encoder-400m	step482620	All	0.815285	0.780598	0.591653	0.730259
jhu-clsp/ettin-encoder-400m	step482620	Aligned	0.894811	0.880429	0.716864	0.876481
jhu-clsp/ettin-encoder-400m	step482620	Misaligned	0.735759	0.680767	0.466441	0.584038
jhu-clsp/ettin-encoder-400m	step560558	All	0.880570	0.833897	0.746052	0.801043
jhu-clsp/ettin-encoder-400m	step560558	Aligned	0.840666	0.811055	0.804287	0.877609
jhu-clsp/ettin-encoder-400m	step560558	Misaligned	0.920474	0.856740	0.687817	0.724478
jhu-clsp/ettin-encoder-400m	step599525	All	0.841089	0.862239	0.581077	0.912155
jhu-clsp/ettin-encoder-400m	step599525	Aligned	0.767343	0.801184	0.585730	0.884095
jhu-clsp/ettin-encoder-400m	step599525	Misaligned	0.914834	0.923294	0.576424	0.940214
