revision	construction	world_knowledge_filter	accuracy
main	nottomention	verb_pick up_all	0.7722222222222223
main	nottomention	verb_pick up_aligned	0.8277777777777777
main	nottomention	verb_pick up_misaligned	0.7166666666666667
main	nottomention	verb_lift_all	0.8055555555555556
main	nottomention	verb_lift_aligned	0.8055555555555556
main	nottomention	verb_lift_misaligned	0.8055555555555556
main	nottomention	verb_see_all	0.6388888888888888
main	nottomention	verb_see_aligned	0.6666666666666666
main	nottomention	verb_see_misaligned	0.6111111111111112
main	nottomention	verb_compose_all	0.7934027777777778
main	nottomention	verb_compose_aligned	0.8125
main	nottomention	verb_compose_misaligned	0.7743055555555556
main	nevermind	all	0.7387196841511562
main	nevermind	aligned	0.8403835307388607
main	nevermind	misaligned	0.6370558375634517
main	nevermind	aligned1	0.8781725888324873
main	nevermind	misaligned1	0.8206429780033841
main	nevermind	aligned2	0.8025944726452341
main	nevermind	misaligned2	0.45346869712351945
main	nevermind	verb_hold_all	0.7694444444444445
main	nevermind	verb_hold_aligned	0.9222222222222223
main	nevermind	verb_hold_misaligned	0.6166666666666667
main	nevermind	verb_bake_all	0.7
main	nevermind	verb_bake_aligned	0.7333333333333333
main	nevermind	verb_bake_misaligned	0.6666666666666666
main	nevermind	verb_cook_all	0.6440972222222222
main	nevermind	verb_cook_aligned	0.6701388888888888
main	nevermind	verb_cook_misaligned	0.6180555555555556
main	nevermind	verb_paint_all	0.7777777777777778
main	nevermind	verb_paint_aligned	0.8737373737373737
main	nevermind	verb_paint_misaligned	0.6818181818181818
main	nevermind	verb_draw_all	0.7159090909090909
main	nevermind	verb_draw_aligned	0.8914141414141414
main	nevermind	verb_draw_misaligned	0.5404040404040404
main	nevermind	verb_sing_all	0.7196969696969697
main	nevermind	verb_sing_aligned	0.7929292929292929
main	nevermind	verb_sing_misaligned	0.6464646464646465
main	nevermind	verb_write_all	0.7569444444444444
main	nevermind	verb_write_aligned	0.9305555555555556
main	nevermind	verb_write_misaligned	0.5833333333333334
main	nevermind	verb_make_all	0.7541666666666667
main	nevermind	verb_make_aligned	0.7833333333333333
main	nevermind	verb_make_misaligned	0.725
main	nevermind	verb_pick up_all	0.7416666666666667
main	nevermind	verb_pick up_aligned	0.7944444444444444
main	nevermind	verb_pick up_misaligned	0.6888888888888889
main	nevermind	verb_lift_all	0.7166666666666667
main	nevermind	verb_lift_aligned	0.8555555555555555
main	nevermind	verb_lift_misaligned	0.5777777777777777
main	nevermind	verb_see_all	0.6666666666666666
main	nevermind	verb_see_aligned	0.6111111111111112
main	nevermind	verb_see_misaligned	0.7222222222222222
main	nevermind	verb_compose_all	0.7673611111111112
main	nevermind	verb_compose_aligned	0.9444444444444444
main	nevermind	verb_compose_misaligned	0.5902777777777778
