revision	construction	test_type	accuracy	delta_surps	delta_surps_and
step1	let alone	NPI	0.8640721940214326	-0.04647002513302426	-0.07500121584062316
step1	let alone	Pseudocleft	0.14946418499717992	0.009883503556184305	0.06236807021191067
step1	let alone	CP Conjunction	0.11844331641285956	0.05372813375938835	0.11018452910602387
step1	let alone	VP Conjunction	0.046249294980259446	-0.0559757391880678	0.011043604524271314
step1	let alone	VP Gap Conjunction	0.17146080090242527	-0.05435009077989776	0.010260101636788666
step1	let alone	Avg_Test	0.377326565143824	0.005713870727516134	0.03251712782577046
step1	let alone	Avg_Control	0.10885504794134236	-0.055162914983982785	0.01065185308052999
step1	much less	NPI	0.8240270727580372	-0.04302557564965086	-0.07500121584062316
step1	much less	Pseudocleft	0.9385222786238014	0.12507327639713717	0.06236807021191067
step1	much less	CP Conjunction	0.5245346869712352	0.1132669217560968	0.11018452910602387
step1	much less	VP Conjunction	0.48392554991539766	0.008150682702147947	0.011043604524271314
step1	much less	VP Gap Conjunction	0.6858432036097011	0.03240341664167432	0.010260101636788666
step1	much less	Avg_Test	0.7623613461176912	0.06510487416786104	0.03251712782577046
step1	much less	Avg_Control	0.5848843767625493	0.020277049671911133	0.01065185308052999
step1	not to mention	NPI	0.7021996615905245	-0.049323964105510376	-0.07500121584062316
step1	not to mention	Pseudocleft	0.8826847151720248	0.13582266728486705	0.06236807021191067
step1	not to mention	CP Conjunction	0.3316412859560068	0.09292855130973944	0.11018452910602387
step1	not to mention	VP Conjunction	0.26959954878736603	-0.014988878791236789	0.011043604524271314
step1	not to mention	VP Gap Conjunction	0.5290468133107727	0.0012936471077391288	0.010260101636788666
step1	not to mention	Avg_Test	0.638841887572852	0.05980908482969872	0.03251712782577046
step1	not to mention	Avg_Control	0.3993231810490694	-0.00684761584174883	0.01065185308052999
step1	never mind	NPI	0.8849407783417935	-0.04403916147558004	-0.07500121584062316
step1	never mind	Pseudocleft	0.8245910885504795	0.10749705820788263	0.06236807021191067
step1	never mind	CP Conjunction	0.030456852791878174	0.05603148691141869	0.11018452910602387
step1	never mind	VP Conjunction	0.17710095882684715	-0.01842763957772889	0.011043604524271314
step1	never mind	VP Gap Conjunction	0.3350253807106599	-0.016188765674812602	0.010260101636788666
step1	never mind	Avg_Test	0.579996239894717	0.039829794547907096	0.03251712782577046
step1	never mind	Avg_Control	0.25606316976875354	-0.01730820262627075	0.01065185308052999
step2	let alone	NPI	0.8652002256063169	-0.04667589345760951	-0.07533390940210617
step2	let alone	Pseudocleft	0.14833615341229556	0.008953731878961667	0.06155791177765763
