revision	construction	test_type	accuracy	delta_surps	delta_surps_and
step1	let alone	NPI	0.5425831923293852	0.05196422731815864	0.049053994128748446
step1	let alone	Pseudocleft	0.7980823463056965	0.01900100600430338	-0.021609622613225896
step1	let alone	CP Conjunction	0.6125211505922166	-0.04462552917790292	-0.05327536275813083
step1	let alone	VP Conjunction	0.45910885504794136	-0.037992672132222016	-0.0397389283371187
step1	let alone	VP Gap Conjunction	0.47377326565143824	0.006553308343860472	0.002079337045289773
step1	let alone	Avg_Test	0.6510622297424328	0.008779901381519696	-0.008610330414202762
step1	let alone	Avg_Control	0.4664410603496898	-0.01571968189418077	-0.01882979564591446
step1	much less	NPI	0.33728144388042863	0.042228093607171585	0.049053994128748446
step1	much less	Pseudocleft	0.5792442188381275	-0.008956057166084937	-0.021609622613225896
step1	much less	CP Conjunction	0.38465877044557245	-0.06828030609371831	-0.05327536275813083
step1	much less	VP Conjunction	0.29723632261703326	-0.054216707082233084	-0.0397389283371187
step1	much less	VP Gap Conjunction	0.5724760293288212	0.014413247858812428	0.002079337045289773
step1	much less	Avg_Test	0.4337281443880428	-0.011669423217543886	-0.008610330414202762
step1	much less	Avg_Control	0.43485617597292725	-0.019901729611710328	-0.01882979564591446
step1	not to mention	NPI	0.3925549915397631	0.03727252323346421	0.049053994128748446
step1	not to mention	Pseudocleft	0.718556119571348	0.011230619896352427	-0.021609622613225896
step1	not to mention	CP Conjunction	0.7557811618725324	-0.029793540838406195	-0.05327536275813083
step1	not to mention	VP Conjunction	0.6802030456852792	-0.027931012209027887	-0.0397389283371187
step1	not to mention	VP Gap Conjunction	0.5538635081782289	0.0147709591000079	0.002079337045289773
step1	not to mention	Avg_Test	0.6222974243278813	0.006236534097136813	-0.008610330414202762
step1	not to mention	Avg_Control	0.6170332769317541	-0.006580026554509994	-0.01882979564591446
step1	never mind	NPI	0.24478285391990975	0.03974522968772038	0.049053994128748446
step1	never mind	Pseudocleft	0.32769317540891146	-0.04603148932115404	-0.021609622613225896
step1	never mind	CP Conjunction	0.8668922729836436	-0.011063313255589683	-0.05327536275813083
step1	never mind	VP Conjunction	0.9086294416243654	0.04164412649620483	-0.0397389283371187
step1	never mind	VP Gap Conjunction	0.9830795262267343	0.07734305967534263	0.002079337045289773
step1	never mind	Avg_Test	0.4797894341041549	-0.0057831909630077834	-0.008610330414202762
step1	never mind	Avg_Control	0.9458544839255498	0.05949359308577373	-0.01882979564591446
step2	let alone	NPI	0.5425831923293852	0.05186538405829877	0.04893459926805318
step2	let alone	Pseudocleft	0.7980823463056965	0.0188165590444394	-0.02177548448849861
step2	let alone	CP Conjunction	0.61082910321489	-0.04432877617506275	-0.05284502112253602
step2	let alone	VP Conjunction	0.45741680767061477	-0.037917689018443154	-0.039617474443550814
step2	let alone	VP Gap Conjunction	0.47377326565143824	0.006626937057228353	0.002207063243541056
step2	let alone	Avg_Test	0.6504982139499906	0.008784388975891802	-0.008561968780993818
step2	let alone	Avg_Control	0.46559503666102653	-0.0156453759806074	-0.018705205600004878
step2	much less	NPI	0.338409475465313	0.04213973162070685	0.04893459926805318
step2	much less	Pseudocleft	0.5786802030456852	-0.009121863638957959	-0.02177548448849861
step2	much less	CP Conjunction	0.3835307388606881	-0.067954841200672	-0.05284502112253602
step2	much less	VP Conjunction	0.29723632261703326	-0.05412333682641691	-0.039617474443550814
step2	much less	VP Gap Conjunction	0.5724760293288212	0.014520433213975743	0.002207063243541056
step2	much less	Avg_Test	0.4335401391238955	-0.011645657739641034	-0.008561968780993818
step2	much less	Avg_Control	0.43485617597292725	-0.01980145180622058	-0.018705205600004878
step2	not to mention	NPI	0.3931190073322053	0.037188562241504186	0.04893459926805318
step2	not to mention	Pseudocleft	0.718556119571348	0.01107269508718972	-0.02177548448849861
step2	not to mention	CP Conjunction	0.7540891144952059	-0.029480341391178812	-0.05284502112253602
step2	not to mention	VP Conjunction	0.6802030456852792	-0.02784759502120425	-0.039617474443550814
step2	not to mention	VP Gap Conjunction	0.5532994923857868	0.014880244905371735	0.002207063243541056
step2	not to mention	Avg_Test	0.6219214137995864	0.006260305312505036	-0.008561968780993818
step2	not to mention	Avg_Control	0.616751269035533	-0.006483675057916258	-0.018705205600004878
step2	never mind	NPI	0.24534686971235195	0.039665671841814486	0.04893459926805318
step2	never mind	Pseudocleft	0.32712915961646927	-0.04628677873778193	-0.02177548448849861
step2	never mind	CP Conjunction	0.8668922729836436	-0.010795337765215476	-0.05284502112253602
step2	never mind	VP Conjunction	0.9086294416243654	0.041707033500520824	-0.039617474443550814
step2	never mind	VP Gap Conjunction	0.9830795262267343	0.07740440411683334	0.002207063243541056
step2	never mind	Avg_Test	0.4797894341041549	-0.005805481553727645	-0.008561968780993818
step2	never mind	Avg_Control	0.9458544839255498	0.059555718808677084	-0.018705205600004878
step4	let alone	NPI	0.5527354765933447	0.04754592144617041	0.04369274425560381
step4	let alone	Pseudocleft	0.7952622673434856	0.011368603068963359	-0.02838732197132748
step4	let alone	CP Conjunction	0.5245346869712352	-0.03163903833982028	-0.03418164164483442
step4	let alone	VP Conjunction	0.4179357021996616	-0.03474907409788454	-0.03420693203344636
step4	let alone	VP Gap Conjunction	0.45854483925549916	0.009555137298635677	0.007722752953543855
step4	let alone	Avg_Test	0.6241774769693551	0.0090918287251045	-0.006292073120186034
step4	let alone	Avg_Control	0.43824027072758037	-0.01259696839962443	-0.01324208953995125
step4	much less	NPI	0.38071065989847713	0.03820702778170225	0.04369274425560381
step4	much less	Pseudocleft	0.5758601240834743	-0.01569947212077232	-0.02838732197132748
step4	much less	CP Conjunction	0.33671742808798644	-0.05381545654744395	-0.03418164164483442
step4	much less	VP Conjunction	0.2887760857304005	-0.049972655204346864	-0.03420693203344636
step4	much less	VP Gap Conjunction	0.562887760857304	0.01903234870166213	0.007722752953543855
step4	much less	Avg_Test	0.43109607068997935	-0.010435966962171337	-0.006292073120186034
step4	much less	Avg_Control	0.4258319232938522	-0.01547015325134237	-0.01324208953995125
step4	not to mention	NPI	0.40552735476593343	0.03350935934360453	0.04369274425560381
step4	not to mention	Pseudocleft	0.7230682459108855	0.004726949413146797	-0.02838732197132748
step4	not to mention	CP Conjunction	0.6875352509870276	-0.016014004990803063	-0.03418164164483442
step4	not to mention	VP Conjunction	0.6604624929498026	-0.024238067364464096	-0.03420693203344636
step4	not to mention	VP Gap Conjunction	0.5324309080654258	0.01936348023820717	0.007722752953543855
step4	not to mention	Avg_Test	0.6053769505546155	0.007407434588649421	-0.006292073120186034
step4	not to mention	Avg_Control	0.5964467005076142	-0.002437293563128461	-0.01324208953995125
step4	never mind	NPI	0.2707275803722504	0.036107677560839706	0.04369274425560381
step4	never mind	Pseudocleft	0.29441624365482233	-0.05668508999776649	-0.02838732197132748
step4	never mind	CP Conjunction	0.8364354201917654	0.0007016746189658002	-0.03418164164483442
step4	never mind	VP Conjunction	0.9058093626621545	0.04435319572401404	-0.03420693203344636
step4	never mind	VP Gap Conjunction	0.9751833051325437	0.07976716208847921	0.007722752953543855
step4	never mind	Avg_Test	0.4671930814062794	-0.006625245939320331	-0.006292073120186034
step4	never mind	Avg_Control	0.9404963338973491	0.06206017890624663	-0.01324208953995125
step8	let alone	NPI	0.6147772137619854	0.025650418685508675	0.01717780554825749
